id,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE
2260,2-Nov-81,39,0,4,"$74,706 ",Yes,M,Masters,Blue Collar,31,"$37,095 ",12,Minivan,"$21,746 ",3,7,1
2261,26-Feb-01,19,2,12,"$143,306 ",No,M,Masters,Home Maker,18,"$28,304 ",5,Sports Car,"$11,594 ",1,8,6
2262,12-Jan-03,18,1,7,"$55,287 ",No,F,Bachelors,Manager,11,"$34,148 ",1,Van,"$1,462 ",0,3,9
2263,30-Mar-00,20,1,9,"$147,375 ",Yes,M,PhD,Professional,39,"$19,319 ",15,Pickup,"$25,816 ",1,0,2
2264,12-May-91,29,0,11,"$113,309 ",Yes,M,Masters,Blue Collar,28,"$14,131 ",7,SUV,"$15,805 ",0,4,2
2265,25-Nov-88,32,0,2,"$61,940 ",No,F,Bachelors,Doctor,20,"$18,577 ",5,Pickup,"$24,407 ",0,6,3
2266,18-Dec-73,47,0,10,"$128,462 ",No,F,Bachelors,Manager,38,"$14,101 ",14,Panel Truck,"$12,892 ",3,2,10
2267,2-Sep-88,32,0,3,"$49,404 ",Yes,M,Masters,Doctor,31,"$20,937 ",3,Sports Car,"$7,762 ",0,9,9
2268,6-Jul-91,29,1,3,"$108,350 ",Yes,M,High School,Doctor,43,"$23,038 ",11,Sports Car,"$4,091 ",2,3,0
2269,11-Aug-92,28,4,9,"$50,079 ",No,F,Masters,Professional,39,"$28,787 ",6,Sports Car,"$1,003 ",2,8,10
2270,6-Mar-95,25,2,13,"$92,258 ",Yes,F,Masters,Doctor,17,"$27,439 ",10,Panel Truck,"$14,560 ",1,8,13
2271,18-Jan-82,39,0,6,"$58,744 ",Yes,F,Bachelors,Clerical,18,"$38,356 ",4,Minivan,"$11,040 ",0,0,12
2272,15-Jun-85,35,2,3,"$60,757 ",Yes,M,PhD,Blue Collar,31,"$37,602 ",12,Panel Truck,"$21,098 ",0,8,13
2273,18-Jun-98,22,0,7,"$62,071 ",Yes,F,Bachelors,Home Maker,19,"$34,074 ",4,Sports Car,"$19,844 ",1,2,7
2274,16-Nov-96,24,2,6,"$80,041 ",No,M,Bachelors,Lawyer,34,"$27,698 ",9,Pickup,"$10,111 ",0,8,11
2275,13-Oct-85,35,1,8,"$44,998 ",No,F,High School,Lawyer,32,"$22,622 ",13,Panel Truck,"$17,442 ",1,3,1
2276,13-May-86,34,4,1,"$42,885 ",Yes,F,High School,Home Maker,43,"$23,527 ",13,Sports Car,"$13,622 ",3,1,14
2277,15-Nov-71,49,0,2,"$110,479 ",No,F,PhD,Lawyer,38,"$15,166 ",8,Minivan,"$25,026 ",3,2,0
2278,12-Apr-66,54,0,11,"$68,842 ",No,F,PhD,Lawyer,20,"$39,037 ",1,Pickup,"$26,795 ",0,8,5
2279,12-Feb-03,17,3,11,"$101,567 ",Yes,M,Bachelors,Doctor,37,"$19,437 ",12,Van,"$21,768 ",2,9,6
2280,6-Aug-71,49,3,1,"$123,367 ",Yes,F,Masters,Manager,15,"$31,760 ",4,Panel Truck,"$9,398 ",0,5,3
2281,20-Dec-66,54,0,7,"$35,155 ",Yes,M,Bachelors,Blue Collar,38,"$30,589 ",3,Pickup,"$6,644 ",0,4,14
2282,26-Dec-89,31,3,10,"$99,846 ",Yes,M,PhD,Home Maker,11,"$31,587 ",11,Sports Car,"$21,840 ",0,8,5
2283,15-Apr-87,33,2,12,"$137,214 ",Yes,M,Masters,Manager,13,"$35,317 ",8,Pickup,"$19,690 ",0,2,14
2284,29-Oct-95,25,1,1,"$32,148 ",No,M,Bachelors,Manager,42,"$26,232 ",2,Minivan,"$11,453 ",2,6,12
2285,24-Apr-83,37,0,13,"$141,775 ",Yes,M,High School,Student,31,"$35,037 ",6,Panel Truck,"$22,782 ",0,0,14
2286,10-Sep-82,38,2,10,"$95,235 ",No,F,High School,Blue Collar,21,"$20,789 ",13,SUV,"$19,256 ",2,6,9
2287,21-Dec-01,19,0,3,"$72,744 ",No,F,Masters,Student,34,"$36,814 ",4,SUV,"$8,596 ",0,9,14
2288,14-Jun-71,49,1,6,"$47,145 ",Yes,F,Masters,Home Maker,43,"$39,745 ",14,Panel Truck,"$7,448 ",0,10,4
2289,23-Nov-87,33,1,3,"$53,726 ",Yes,F,Masters,Doctor,42,"$35,106 ",7,Panel Truck,"$20,354 ",1,8,12
2290,25-Mar-74,46,0,10,"$54,911 ",Yes,M,Bachelors,Home Maker,12,"$39,048 ",14,Panel Truck,"$26,677 ",0,4,14
2291,20-Apr-03,17,3,1,"$67,302 ",No,M,PhD,Home Maker,10,"$14,985 ",14,Pickup,"$26,526 ",0,0,7
2292,25-Mar-82,38,2,10,"$142,022 ",Yes,M,PhD,Professional,33,"$23,928 ",4,Sports Car,"$17,986 ",1,5,7
2293,8-Jun-90,30,4,3,"$91,051 ",No,M,Masters,Student,38,"$38,185 ",6,Minivan,"$15,622 ",0,8,15
2294,18-Mar-76,44,0,0,"$98,524 ",Yes,F,Bachelors,Professional,13,"$28,016 ",6,SUV,"$18,360 ",0,8,2
2295,21-Jun-82,38,0,2,"$80,508 ",No,M,Bachelors,Blue Collar,22,"$15,202 ",7,Panel Truck,"$15,087 ",0,4,9
2296,30-Nov-81,39,1,9,"$87,781 ",No,M,PhD,Lawyer,35,"$20,820 ",2,SUV,"$3,265 ",0,8,1
2297,10-Jul-76,44,3,2,"$64,863 ",Yes,F,High School,Lawyer,41,"$24,997 ",4,SUV,"$24,994 ",0,3,2
2298,8-Nov-00,20,0,10,"$137,524 ",Yes,F,PhD,Manager,25,"$31,101 ",10,SUV,"$13,482 ",0,5,5
2299,9-Dec-91,29,4,13,"$42,354 ",Yes,M,Bachelors,Professional,31,"$29,425 ",2,SUV,"$14,968 ",0,10,6
2300,20-Feb-86,34,1,12,"$95,589 ",No,M,High School,Doctor,25,"$22,708 ",6,Pickup,"$4,057 ",3,6,4
2301,22-Jan-80,41,1,11,"$83,172 ",Yes,F,PhD,Home Maker,43,"$39,073 ",5,Sports Car,"$12,696 ",0,1,4
2302,27-May-85,35,0,3,"$103,492 ",No,F,PhD,Clerical,11,"$25,187 ",12,Sports Car,"$19,182 ",0,9,10
2303,29-Mar-01,19,0,2,"$143,510 ",Yes,M,Masters,Doctor,27,"$32,431 ",9,Minivan,"$20,942 ",0,3,11
2304,14-Apr-93,27,4,9,"$102,561 ",Yes,M,PhD,Blue Collar,11,"$39,484 ",12,Van,"$23,852 ",3,5,1
2305,15-Dec-72,48,0,10,"$142,537 ",No,M,Bachelors,Home Maker,38,"$26,665 ",8,Panel Truck,"$17,471 ",1,10,2
2306,19-Aug-01,19,0,13,"$123,436 ",Yes,F,High School,Professional,44,"$27,645 ",3,SUV,"$24,309 ",0,7,5
2307,10-Aug-72,48,0,6,"$110,609 ",Yes,M,PhD,Student,16,"$18,132 ",10,Pickup,"$7,843 ",0,9,7
2308,27-Feb-88,32,0,9,"$104,916 ",No,M,Masters,Home Maker,32,"$36,203 ",8,SUV,"$20,355 ",1,9,2
2309,8-Aug-78,42,2,2,"$78,641 ",No,F,High School,Doctor,13,"$15,507 ",13,Pickup,"$21,632 ",0,7,11
2310,19-Mar-75,45,4,3,"$118,991 ",No,M,Masters,Student,20,"$17,712 ",11,SUV,$783 ,0,9,13
2311,8-Jan-72,49,3,3,"$45,332 ",Yes,F,Masters,Home Maker,24,"$18,597 ",3,SUV,"$11,943 ",1,1,7
2312,11-Oct-93,27,2,13,"$38,816 ",Yes,F,Masters,Student,35,"$19,310 ",10,Van,"$16,676 ",0,0,8
2313,3-Oct-67,53,4,1,"$87,591 ",Yes,F,PhD,Professional,14,"$32,085 ",5,Pickup,"$10,020 ",0,9,2
2314,31-Aug-85,35,0,9,"$138,954 ",No,M,Bachelors,Home Maker,22,"$22,573 ",7,Van,"$23,324 ",2,10,8
2315,10-Jan-02,19,3,1,"$69,276 ",Yes,F,High School,Student,32,"$18,266 ",1,Sports Car,"$3,950 ",0,6,12
2316,19-May-76,44,0,4,"$87,513 ",No,M,Bachelors,Manager,21,"$17,052 ",5,Sports Car,"$6,072 ",0,4,13
2317,19-Feb-78,42,0,11,"$37,138 ",Yes,F,Bachelors,Blue Collar,18,"$28,977 ",10,SUV,"$8,738 ",2,4,2
2318,7-Dec-76,44,3,0,"$58,450 ",Yes,M,Bachelors,Professional,13,"$38,591 ",14,SUV,$483 ,0,6,15
2319,7-Aug-99,21,3,5,"$102,422 ",No,M,PhD,Home Maker,29,"$25,645 ",3,Van,"$13,439 ",2,9,13
2320,27-Jun-70,50,1,4,"$123,446 ",Yes,F,Masters,Manager,25,"$28,645 ",7,SUV,"$14,030 ",0,1,7
2321,22-Apr-81,39,1,10,"$126,431 ",No,M,Masters,Blue Collar,18,"$29,511 ",2,Minivan,"$8,164 ",0,2,9
2322,14-Aug-77,43,2,4,"$66,711 ",No,M,PhD,Blue Collar,27,"$35,253 ",15,Van,$69 ,1,2,2
2323,27-Sep-00,20,0,1,"$127,293 ",Yes,M,Bachelors,Home Maker,13,"$17,228 ",7,Pickup,"$12,452 ",3,3,8
2324,2-Apr-98,22,0,8,"$65,168 ",Yes,F,Masters,Home Maker,23,"$27,499 ",6,SUV,"$19,132 ",0,10,8
2325,28-Jun-77,43,3,1,"$68,154 ",Yes,M,High School,Lawyer,34,"$27,686 ",15,Pickup,"$5,040 ",0,6,2
2326,6-Sep-81,39,1,3,"$112,398 ",No,F,Bachelors,Home Maker,21,"$33,033 ",11,SUV,"$10,958 ",3,9,14
2327,14-Aug-01,19,3,8,"$73,509 ",No,F,High School,Doctor,40,"$39,213 ",15,Van,"$23,165 ",3,4,0
2328,23-Jul-03,17,0,3,"$65,292 ",Yes,M,PhD,Home Maker,39,"$39,902 ",11,Pickup,"$22,765 ",3,6,11
2329,9-Jun-89,31,2,0,"$67,353 ",No,M,High School,Lawyer,38,"$20,996 ",11,Minivan,"$12,677 ",0,10,8
2330,19-Nov-00,20,4,4,"$96,286 ",No,F,Masters,Manager,32,"$18,121 ",1,Van,"$5,051 ",0,0,1
2331,13-Jan-75,46,4,7,"$33,242 ",Yes,F,High School,Manager,13,"$34,907 ",1,Pickup,"$19,313 ",2,2,1
2332,24-Aug-76,44,0,6,"$40,521 ",Yes,M,Masters,Clerical,35,"$18,662 ",14,Minivan,"$22,137 ",3,10,1
2333,22-Oct-96,24,1,12,"$136,811 ",Yes,F,Masters,Blue Collar,35,"$37,008 ",1,SUV,"$3,602 ",0,4,11
2334,23-Sep-70,50,0,5,"$41,399 ",No,F,Bachelors,Clerical,27,"$20,013 ",11,Panel Truck,"$17,222 ",2,1,5
2335,16-Sep-76,44,0,9,"$70,208 ",No,M,High School,Professional,17,"$32,534 ",12,Minivan,"$4,737 ",1,2,8
2336,20-Jun-03,17,0,2,"$57,129 ",No,F,PhD,Student,38,"$30,641 ",14,Minivan,"$3,684 ",2,5,1
2337,21-Jul-68,52,2,13,"$54,892 ",No,F,Bachelors,Student,15,"$35,940 ",8,Pickup,"$5,539 ",1,9,1
2338,14-Aug-84,36,1,12,"$33,416 ",No,M,High School,Clerical,10,"$28,029 ",4,Minivan,"$23,258 ",0,10,2
2339,15-May-00,20,4,0,"$88,720 ",Yes,M,Masters,Professional,21,"$30,422 ",2,Minivan,"$15,283 ",0,6,9
2340,26-Nov-03,17,3,6,"$50,691 ",Yes,M,Bachelors,Lawyer,27,"$35,251 ",6,SUV,"$13,006 ",2,5,10
2341,29-Jun-69,51,0,10,"$46,483 ",Yes,M,Masters,Lawyer,21,"$25,327 ",6,Panel Truck,"$22,732 ",0,8,1
2342,25-Apr-78,42,2,1,"$120,004 ",No,F,PhD,Clerical,31,"$17,713 ",6,Pickup,"$11,674 ",0,2,10
2343,1-Apr-02,18,1,6,"$127,128 ",No,M,Bachelors,Blue Collar,25,"$16,575 ",11,Minivan,"$1,887 ",2,3,3
2344,23-May-71,49,0,4,"$79,503 ",No,M,Bachelors,Student,45,"$14,686 ",4,Van,"$26,165 ",1,5,9
2345,25-Jan-72,49,0,12,"$130,793 ",Yes,F,Bachelors,Doctor,21,"$26,070 ",1,Van,"$18,881 ",2,3,15
2346,19-Sep-83,37,0,4,"$44,411 ",No,F,Bachelors,Blue Collar,30,"$21,804 ",11,Sports Car,"$23,485 ",0,7,13
2347,4-Oct-99,21,2,9,"$143,390 ",Yes,F,PhD,Clerical,22,"$25,451 ",15,Minivan,"$18,391 ",0,1,4
2348,13-Feb-79,41,3,11,"$133,778 ",Yes,M,PhD,Student,29,"$34,754 ",12,Panel Truck,"$24,248 ",0,3,5
2349,19-Apr-70,50,2,11,"$134,600 ",Yes,F,Bachelors,Lawyer,36,"$17,380 ",9,Sports Car,"$14,367 ",2,1,10
2350,2-Apr-92,28,0,5,"$123,330 ",No,F,Masters,Student,40,"$35,223 ",12,Minivan,"$22,923 ",0,0,11
2351,18-Mar-90,30,3,4,"$100,545 ",No,M,PhD,Home Maker,25,"$25,751 ",7,Sports Car,"$26,567 ",0,7,5
2352,3-Apr-68,52,0,12,"$123,931 ",No,F,Masters,Home Maker,36,"$14,955 ",13,Pickup,"$15,760 ",0,7,5
2353,26-Nov-72,48,0,13,"$55,384 ",Yes,F,PhD,Student,28,"$39,008 ",10,Pickup,"$19,917 ",2,2,0
2354,3-Jun-66,54,0,13,"$136,964 ",No,M,High School,Student,14,"$20,924 ",5,Minivan,"$9,452 ",0,5,3
2355,16-Jun-68,52,0,9,"$51,942 ",Yes,M,PhD,Home Maker,10,"$24,470 ",3,SUV,"$15,174 ",0,0,10
2356,13-Sep-95,25,3,6,"$76,884 ",No,M,PhD,Student,23,"$31,313 ",4,SUV,"$15,766 ",0,1,6
2357,28-Oct-79,41,2,10,"$47,348 ",No,F,Bachelors,Manager,34,"$22,299 ",7,Pickup,"$10,571 ",0,7,2
2358,22-Sep-73,47,1,4,"$62,942 ",Yes,M,PhD,Blue Collar,36,"$22,476 ",3,Sports Car,"$16,410 ",1,7,4
2359,18-Nov-02,18,1,2,"$120,603 ",Yes,F,PhD,Lawyer,29,"$34,338 ",9,Minivan,"$12,461 ",2,4,15
2360,12-May-73,47,0,13,"$90,182 ",No,F,High School,Manager,15,"$30,655 ",8,Panel Truck,"$2,362 ",0,1,7
2361,14-Dec-82,38,2,13,"$63,521 ",Yes,M,Masters,Home Maker,40,"$28,655 ",15,SUV,"$18,453 ",1,2,3
2362,18-Jun-73,47,3,11,"$59,422 ",Yes,F,High School,Blue Collar,21,"$31,743 ",11,Pickup,"$25,851 ",0,5,9
2363,21-Nov-93,27,2,1,"$97,063 ",No,F,Bachelors,Home Maker,27,"$17,539 ",15,Minivan,"$5,662 ",2,9,5
2364,8-Jan-81,40,1,11,"$80,249 ",No,M,High School,Student,37,"$39,166 ",14,SUV,"$18,428 ",0,6,15
2365,16-Jan-75,46,3,0,"$100,109 ",No,M,PhD,Home Maker,14,"$19,352 ",15,Van,"$10,775 ",2,1,2
2366,8-Apr-67,53,1,2,"$80,572 ",No,F,PhD,Student,38,"$19,358 ",13,Pickup,"$19,238 ",0,4,5
2367,31-Jul-71,49,0,11,"$89,831 ",Yes,F,Masters,Doctor,27,"$29,797 ",5,Pickup,"$10,301 ",0,4,9
2368,28-May-00,20,0,13,"$106,407 ",Yes,M,PhD,Student,44,"$38,999 ",14,Pickup,"$2,559 ",0,9,8
2369,31-Oct-97,23,0,5,"$88,069 ",No,F,Masters,Lawyer,30,"$24,708 ",3,Pickup,"$18,594 ",1,3,13
2370,23-Mar-70,50,1,2,"$91,644 ",Yes,F,PhD,Manager,25,"$38,647 ",1,Minivan,"$10,869 ",0,0,0
2371,11-Jul-67,53,0,13,"$36,331 ",Yes,F,Masters,Home Maker,39,"$29,615 ",5,Sports Car,"$11,924 ",0,4,5
2372,21-Dec-88,32,0,3,"$99,193 ",Yes,F,Masters,Lawyer,41,"$27,471 ",6,Panel Truck,"$6,592 ",3,2,11
2373,2-Sep-03,17,0,1,"$143,603 ",Yes,F,Bachelors,Home Maker,43,"$16,220 ",9,SUV,"$20,036 ",3,5,12
2374,2-Feb-71,50,0,0,"$124,706 ",No,M,Bachelors,Manager,44,"$19,208 ",14,Pickup,$249 ,0,9,9
2375,14-Dec-69,51,0,0,"$136,306 ",Yes,M,Bachelors,Lawyer,16,"$19,371 ",9,Van,"$23,509 ",1,2,14
2376,7-Oct-73,47,3,3,"$44,202 ",Yes,F,Masters,Professional,25,"$14,595 ",9,Sports Car,"$16,492 ",0,6,9
2377,5-Dec-75,45,1,3,"$84,679 ",Yes,F,PhD,Doctor,22,"$37,549 ",13,SUV,"$22,817 ",3,1,9
2378,21-Jul-90,30,0,9,"$138,080 ",Yes,F,Masters,Lawyer,41,"$25,425 ",14,Panel Truck,"$6,425 ",0,8,15
2379,8-Oct-67,53,2,0,"$97,612 ",No,M,Masters,Student,20,"$18,016 ",6,Panel Truck,"$6,723 ",0,9,0
2380,4-Sep-00,20,2,10,"$42,037 ",Yes,F,PhD,Lawyer,39,"$28,902 ",6,Pickup,"$2,643 ",0,3,11
2381,8-Oct-02,18,1,8,"$117,432 ",No,F,Bachelors,Lawyer,42,"$35,301 ",12,Panel Truck,"$24,994 ",3,3,8
2382,12-Apr-82,38,3,11,"$69,058 ",No,F,PhD,Clerical,23,"$17,528 ",1,Panel Truck,"$10,666 ",3,10,2
2383,16-Mar-80,40,3,13,"$32,290 ",Yes,M,PhD,Clerical,38,"$15,455 ",11,Sports Car,"$2,379 ",0,5,7
2384,22-Feb-73,47,3,11,"$149,223 ",Yes,M,High School,Lawyer,41,"$35,148 ",7,Panel Truck,"$12,619 ",0,4,5
2385,3-Nov-95,25,2,5,"$105,426 ",No,F,High School,Professional,12,"$27,330 ",6,Panel Truck,"$2,334 ",0,7,9
2386,1-Oct-95,25,0,8,"$123,244 ",No,M,High School,Lawyer,27,"$18,879 ",8,Sports Car,"$14,441 ",0,0,8
2387,15-May-02,18,3,12,"$131,475 ",No,F,High School,Manager,33,"$24,372 ",2,Van,"$17,780 ",0,7,10
2388,25-Feb-99,21,0,4,"$133,765 ",No,M,High School,Professional,36,"$18,356 ",4,Minivan,"$18,011 ",0,1,12
2389,5-Sep-93,27,3,5,"$39,309 ",Yes,M,High School,Professional,11,"$21,291 ",7,Minivan,"$21,015 ",0,3,7
2390,26-Sep-73,47,2,12,"$77,397 ",No,F,PhD,Student,33,"$39,008 ",15,Panel Truck,"$17,908 ",3,3,13
2391,4-Feb-86,35,0,0,"$117,336 ",No,M,Bachelors,Home Maker,31,"$21,687 ",6,Panel Truck,"$10,645 ",2,9,7
2392,9-May-02,18,2,12,"$105,153 ",No,M,PhD,Home Maker,41,"$32,473 ",3,Pickup,"$14,846 ",1,4,5
2393,2-Feb-91,30,0,9,"$136,252 ",Yes,F,High School,Professional,30,"$19,927 ",6,Panel Truck,"$16,136 ",0,6,15
2394,17-Jan-68,53,3,2,"$72,517 ",No,F,PhD,Doctor,17,"$20,710 ",3,Sports Car,"$18,828 ",0,1,2
2395,5-Nov-01,19,2,0,"$80,426 ",No,M,PhD,Clerical,16,"$37,185 ",3,Van,"$15,617 ",1,7,0
2396,5-Apr-93,27,0,13,"$106,325 ",No,M,Masters,Home Maker,38,"$18,824 ",4,Minivan,"$23,510 ",3,1,1
2397,18-Jun-89,31,4,3,"$71,627 ",Yes,F,High School,Blue Collar,38,"$29,333 ",3,SUV,"$10,069 ",3,1,2
2398,21-Sep-70,50,3,12,"$124,889 ",Yes,M,High School,Manager,45,"$36,279 ",8,Van,"$15,703 ",2,2,12
2399,19-Mar-00,20,0,5,"$59,186 ",Yes,M,PhD,Lawyer,40,"$28,926 ",14,Sports Car,"$22,547 ",1,4,7
2400,17-Feb-76,44,2,11,"$101,449 ",No,M,High School,Blue Collar,44,"$21,112 ",13,Minivan,"$22,017 ",2,4,7
2401,5-Sep-91,29,0,6,"$143,600 ",Yes,F,High School,Home Maker,16,"$14,427 ",10,Minivan,"$7,419 ",0,8,13
2402,17-Nov-02,18,0,1,"$115,717 ",No,F,Masters,Blue Collar,45,"$17,570 ",5,Van,"$9,178 ",0,7,5
2403,20-Dec-78,42,0,7,"$67,759 ",No,M,High School,Clerical,16,"$24,308 ",7,Van,"$8,694 ",0,10,11
2404,14-Apr-81,39,1,11,"$57,486 ",No,M,High School,Student,31,"$18,662 ",6,Sports Car,"$7,675 ",1,7,3
2405,25-Jan-93,28,1,4,"$146,962 ",No,F,High School,Blue Collar,38,"$39,738 ",6,Pickup,"$10,405 ",0,6,8
2406,4-Mar-01,19,0,13,"$35,055 ",Yes,F,Bachelors,Blue Collar,36,"$38,614 ",13,Minivan,"$24,174 ",1,8,9
2407,1-Nov-02,18,0,6,"$111,309 ",Yes,M,Masters,Lawyer,29,"$28,034 ",1,Pickup,"$10,883 ",0,2,5
2408,5-Dec-70,50,1,2,"$119,405 ",No,F,High School,Doctor,19,"$18,335 ",2,Minivan,"$19,400 ",0,9,14
2409,23-Sep-79,41,0,11,"$66,750 ",No,F,High School,Manager,15,"$21,918 ",11,Van,"$17,652 ",3,8,1
2410,30-Mar-83,37,0,10,"$47,435 ",Yes,M,High School,Doctor,39,"$33,157 ",1,Sports Car,"$2,583 ",2,10,3
2411,17-Aug-83,37,2,6,"$94,358 ",No,M,Masters,Home Maker,28,"$15,584 ",8,Sports Car,$386 ,1,0,9
2412,13-Oct-73,47,2,10,"$98,081 ",Yes,M,Bachelors,Clerical,11,"$14,623 ",13,Van,"$16,400 ",3,4,14
2413,12-Apr-65,55,0,12,"$97,707 ",No,M,PhD,Clerical,24,"$36,461 ",5,Minivan,"$3,904 ",2,3,3
2414,25-May-86,34,0,4,"$109,254 ",Yes,M,Bachelors,Home Maker,40,"$34,288 ",5,Minivan,"$11,993 ",3,1,8
2415,9-Nov-83,37,0,9,"$131,549 ",No,F,PhD,Home Maker,13,"$23,928 ",1,SUV,"$14,446 ",0,1,14
2416,25-Nov-79,41,4,3,"$55,810 ",Yes,F,PhD,Home Maker,32,"$21,436 ",13,Minivan,"$14,697 ",1,6,15
2417,30-Jul-67,53,3,12,"$35,106 ",No,F,Masters,Lawyer,35,"$14,126 ",9,Van,"$15,551 ",3,10,0
2418,6-Sep-80,40,0,10,"$77,177 ",Yes,F,High School,Doctor,18,"$18,108 ",1,Van,"$23,723 ",3,6,12
2419,19-May-85,35,3,13,"$51,388 ",No,M,Masters,Student,38,"$29,945 ",11,Panel Truck,"$14,813 ",3,2,1
2420,2-Jul-03,17,2,5,"$110,441 ",No,M,High School,Lawyer,25,"$20,160 ",12,Panel Truck,"$16,553 ",0,6,15
2421,9-Sep-01,19,3,13,"$90,235 ",Yes,F,Bachelors,Blue Collar,38,"$22,640 ",13,Panel Truck,"$7,243 ",1,6,11
2422,26-Oct-78,42,0,2,"$117,036 ",Yes,F,High School,Professional,29,"$26,443 ",15,Sports Car,"$3,230 ",1,9,5
2423,16-Aug-76,44,2,11,"$92,079 ",No,M,High School,Lawyer,27,"$39,755 ",13,SUV,"$22,698 ",3,2,14
2424,18-Apr-78,42,0,0,"$116,934 ",Yes,F,PhD,Blue Collar,43,"$16,766 ",6,Pickup,"$16,791 ",1,0,10
2425,10-Jan-79,42,1,7,"$142,223 ",No,M,Bachelors,Lawyer,11,"$21,812 ",12,Van,"$1,609 ",0,8,6
2426,21-Dec-77,43,3,6,"$108,232 ",Yes,F,Bachelors,Blue Collar,15,"$35,033 ",3,Sports Car,"$13,415 ",3,7,4
2427,5-Jul-90,30,2,10,"$46,271 ",Yes,M,PhD,Professional,13,"$26,759 ",4,Minivan,"$5,346 ",0,10,1
2428,6-Feb-67,54,0,9,"$125,143 ",Yes,M,Masters,Clerical,45,"$33,049 ",10,SUV,"$10,715 ",0,6,10
2429,5-Feb-77,44,0,11,"$100,463 ",No,M,Bachelors,Professional,40,"$34,959 ",2,SUV,"$1,409 ",2,6,6
2430,11-Aug-89,31,0,0,"$133,815 ",No,F,High School,Doctor,40,"$29,029 ",6,Pickup,"$6,604 ",2,1,8
2431,24-Aug-00,20,0,2,"$122,805 ",No,M,Bachelors,Blue Collar,18,"$21,902 ",9,Minivan,"$21,380 ",0,3,7
2432,12-Aug-74,46,1,6,"$37,625 ",Yes,F,PhD,Home Maker,45,"$35,314 ",10,Van,"$17,244 ",1,3,6
2433,2-Feb-96,25,0,3,"$104,727 ",Yes,M,Masters,Professional,24,"$26,154 ",1,Panel Truck,"$7,543 ",0,6,7
2434,10-Jun-67,53,2,5,"$147,461 ",No,F,High School,Student,42,"$31,554 ",12,SUV,"$26,802 ",2,2,7
2435,10-Jul-68,52,0,13,"$59,059 ",No,M,PhD,Student,15,"$36,214 ",11,Van,"$4,258 ",0,2,6
2436,18-Sep-81,39,3,8,"$47,104 ",Yes,M,High School,Home Maker,16,"$25,643 ",3,Minivan,"$8,623 ",1,1,5
2437,28-Jul-99,21,2,9,"$113,417 ",Yes,M,Masters,Home Maker,17,"$18,640 ",3,Minivan,"$9,092 ",0,1,9
2438,30-Dec-88,32,2,3,"$140,145 ",Yes,M,Masters,Manager,20,"$18,953 ",14,Minivan,"$5,463 ",0,0,12
2439,26-Aug-85,35,0,9,"$63,650 ",No,F,PhD,Home Maker,22,"$17,890 ",10,Minivan,"$15,992 ",0,7,14
2440,13-Jun-95,25,4,11,"$104,730 ",Yes,M,Bachelors,Doctor,23,"$19,837 ",5,Pickup,"$23,390 ",0,4,7
2441,5-Jul-71,49,0,7,"$141,051 ",Yes,F,High School,Doctor,13,"$32,364 ",2,Panel Truck,"$23,148 ",0,10,6
2442,27-Apr-02,18,0,11,"$52,754 ",Yes,F,PhD,Clerical,17,"$21,319 ",10,Panel Truck,"$8,545 ",2,7,0
2443,8-Sep-85,35,0,1,"$53,219 ",No,F,High School,Manager,26,"$27,215 ",8,Van,"$1,526 ",0,10,4
2444,25-Sep-77,43,0,0,"$147,978 ",No,F,Masters,Home Maker,12,"$29,454 ",14,Sports Car,"$22,313 ",0,1,11
2445,21-Dec-71,49,3,12,"$120,097 ",Yes,M,High School,Manager,33,"$27,989 ",7,Minivan,"$20,675 ",0,2,3
2446,20-Dec-76,44,1,4,"$42,302 ",No,M,PhD,Manager,36,"$39,044 ",8,SUV,"$23,240 ",3,5,11
2447,22-Feb-82,38,3,2,"$49,157 ",No,M,PhD,Doctor,14,"$21,062 ",2,Pickup,"$7,440 ",3,2,0
2448,28-Dec-67,53,2,5,"$81,342 ",No,F,Masters,Home Maker,42,"$22,589 ",8,Pickup,"$9,074 ",0,9,2
2449,6-Sep-80,40,3,5,"$53,813 ",No,M,PhD,Professional,44,"$35,546 ",10,Minivan,"$4,785 ",0,10,3
2450,8-Jan-69,52,0,13,"$84,076 ",No,F,High School,Lawyer,16,"$16,353 ",1,Minivan,"$20,991 ",2,10,12
2451,23-Dec-70,50,0,5,"$108,285 ",No,M,High School,Doctor,41,"$28,467 ",1,Panel Truck,"$24,250 ",0,9,15
2452,20-Mar-94,26,3,3,"$56,203 ",Yes,F,High School,Blue Collar,11,"$32,662 ",1,Minivan,$157 ,1,8,14
2453,18-Jul-85,35,3,12,"$60,139 ",Yes,F,Masters,Clerical,37,"$14,975 ",7,SUV,"$18,552 ",0,3,5
2454,27-Oct-67,53,1,1,"$139,434 ",Yes,M,Masters,Professional,44,"$37,846 ",12,Pickup,"$21,621 ",0,8,6
2455,4-Mar-99,21,3,0,"$118,590 ",Yes,F,PhD,Lawyer,33,"$28,936 ",13,Minivan,"$16,585 ",1,3,10
2456,1-Mar-84,36,4,7,"$45,519 ",Yes,F,Bachelors,Lawyer,29,"$36,640 ",12,Sports Car,$180 ,0,0,6
